category,total_count,available_count,markdown_count,median_price,median_markdown_percent
"Інтернет магазин,Ігрові консолі,Ігрові консолі Hori",1,1.0,,1799.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі MGC",1,1.0,1.0,209.0,5.0
"Інтернет магазин,Ігрові консолі,Ігрові консолі MHZ",6,6.0,3.0,334.5,33.333333333333336
"Інтернет магазин,Ігрові консолі,Ігрові консолі Madcatz",1,,,,
"Інтернет магазин,Ігрові консолі,Ігрові консолі MegaDrive",2,,,,
"Інтернет магазин,Ігрові консолі,Ігрові консолі Metr+",2,2.0,1.0,325.0,8.108108108108109
"Інтернет магазин,Ігрові консолі,Ігрові консолі Microsoft",167,14.0,,10279.5,
"Інтернет магазин,Ігрові консолі,Ігрові консолі Mini Game",4,4.0,4.0,399.0,30.0
"Інтернет магазин,Ігрові консолі,Ігрові консолі NN",25,24.0,15.0,504.0,10.030090270812437
"Інтернет магазин,Ігрові консолі,Ігрові консолі Nintendo",211,168.0,,10024.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі Optima",1,1.0,1.0,610.0,14.084507042253522
"Інтернет магазин,Ігрові консолі,Ігрові консолі Play",1,1.0,,931.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі PlayStation",32,,,19334.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі Rias",2,2.0,,722.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі SEGA",8,6.0,1.0,931.0,23.745819397993312
"Інтернет магазин,Ігрові консолі,Ігрові консолі SNES",1,1.0,1.0,599.0,31.070195627157652
"Інтернет магазин,Ігрові консолі,Ігрові консолі SUP",13,10.0,8.0,369.0,50.0
"Інтернет магазин,Ігрові консолі,Ігрові консолі Steelseries",2,2.0,2.0,675.0,15.09433962264151
"Інтернет магазин,Ігрові консолі,Ігрові консолі Supero",3,3.0,3.0,939.0,10.571428571428571
"Інтернет магазин,Ігрові консолі,Ігрові консолі Supreme",1,1.0,,375.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі Titan",6,6.0,,1914.5,
"Інтернет магазин,Ігрові консолі,Ігрові консолі WOW",4,4.0,4.0,280.5,5.0
"Інтернет магазин,Ігрові консолі,Ігрові консолі Wanle",4,,,449.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі XPRO",3,2.0,2.0,1942.5,22.58322094060967
"Інтернет магазин,Ігрові консолі,Ігрові консолі XoKo",1,,,399.0,
"Інтернет магазин,Ігрові консолі,Ігрові консолі iPega",8,8.0,8.0,750.5,31.020240931285585
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори 2E",3,2.0,,899.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори 8BitDo",4,4.0,,1974.5,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори AO XIE TOYS",1,1.0,,257.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори AR Game",2,2.0,2.0,309.0,50.0
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Baseus",1,1.0,1.0,849.0,19.98114985862394
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Canyon",4,2.0,,1106.5,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Cnv",2,2.0,2.0,287.5,33.36143901068016
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори DNS",1,1.0,1.0,419.0,50.0
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори DVR",1,1.0,,1646.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Data Frog",2,2.0,2.0,307.0,16.68247944339026
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Defender",27,22.0,,397.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Dendy",2,2.0,,138.0,
"Інтернет магазин,Ігрові маніпулятори,Ігрові маніпулятори Dobe",2,2.0,2.0,700.5,50.0
