category,total_count,available_count,markdown_count,median_price,median_markdown_percent
"Інтернет магазин,Аксесуари до побутової техніки,Аксесуари до побутової техніки iClebo",5,,,,
"Інтернет магазин,Аксесуари до побутової техніки,Аксесуари до побутової техніки Ветерок",2,,,134.5,
"Інтернет магазин,Аксесуари до побутової техніки,Аксесуари до побутової техніки КВАДО",2,,,218.0,
"Інтернет магазин,Аксесуари до побутової техніки,Аксесуари до побутової техніки ТарЛев",3,,,,
"Інтернет магазин,Аксесуари до побутової техніки,Аксесуари до побутової техніки Эталон",1,,,,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин AEG",2,1.0,,844.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Auchan",2,2.0,,73.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Bosch",2,1.0,,800.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Electrolux",2,,,129.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Empero",3,3.0,3.0,595.0,5.103668261562999
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Filtero",5,,,399.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Finish",2,,,,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Indesit",2,,,139.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Miele",8,,,490.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Siemens",2,,,800.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Somat",6,,,449.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Vortex",1,,,159.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин WPRO",9,,,135.0,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Кловін Україна",2,,,,
"Інтернет магазин,Аксесуари до посудомийних машин,Аксесуари до посудомийних машин Фрекен Бок",1,1.0,,144.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Asko",5,,,18425.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Auchan",1,,,249.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Beko",4,3.0,,1474.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Bosch",7,2.0,,1799.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Candy",2,,,799.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Delfa",1,,,129.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Electrolux",12,6.0,1.0,709.0,25.12562814070352
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин FROM FACTORY",2,2.0,2.0,23.5,12.916666666666668
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Filtero",4,,,152.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин GREEN&CLEAN",3,,,,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Indesit",3,1.0,,338.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин MasterHouse",1,,,110.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Maxpro",5,1.0,,154.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Miele",3,2.0,,2750.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Mirta",1,,,258.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин NN",2,2.0,2.0,194.5,33.69705671213209
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Samsung",4,1.0,,1999.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Siemens",5,1.0,,499.0,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Top Shop",1,,,,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин Tortilla",1,,,,
"Інтернет магазин,Аксесуари до пральних машин,Аксесуари до пральних машин WPRO",8,1.0,,199.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Braun",3,1.0,,534.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Deerma",1,,,,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Electrolux",1,1.0,,599.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Kärcher",1,1.0,,779.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Philips",1,,,369.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Polaris",1,,,64.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Russell Hobbs",2,,,264.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Sinbo",1,,,234.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок Tefal",2,1.0,,374.0,
"Інтернет магазин,Аксесуари до прасок,Аксесуари до прасок WPRO",3,,,149.0,
"Інтернет магазин,Аксесуари до приставок,Аксесуари до приставок Microsoft",1,1.0,,2198.0,
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів ECOVACS",41,,,,
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів Lenovo",1,,,,
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів Miele",2,,,,
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів NN",2,2.0,2.0,304.0,44.91620971492233
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів RoboRock",5,2.0,,349.0,
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів RoidMi",1,,,,
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів Rowenta",7,,,,
"Інтернет магазин,Аксесуари до роботів-пилососів,Аксесуари до роботів-пилососів Xiaomi",33,28.0,1.0,299.0,54.7112462006079
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів AUARITA",93,,,,
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів AeroPro",1,,,,
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів Airkraft",190,39.0,,22.5,
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів Electrolux",1,,,,
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів Fiac",2,,,,
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів Italco",54,,,,
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів Toptul",6,,,,
"Інтернет магазин,Аксесуари до фільтрів,Аксесуари до фільтрів Xiaomi",5,1.0,,549.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників AEG",1,,,669.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Bosch",39,14.0,,6599.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Electrolux",2,1.0,,179.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Filtero",1,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників GREEN&CLEAN",2,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників HuoHou",1,1.0,,149.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Irak Plastik",14,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Joseph Joseph",1,,,350.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Kikkerland",1,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Lacor",2,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Liebherr",17,7.0,,939.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Maxpro",4,1.0,,45.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників NN",1,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників One Chef",1,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Samsung",40,29.0,,2999.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Siemens",16,,,7207.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Thermo",1,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Tramp",1,1.0,,44.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників WPRO",7,,,319.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Whirlpool",1,,,,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Xiaomi",2,,,269.0,
"Інтернет магазин,Аксесуари до холодильників,Аксесуари до холодильників Кемпінг",2,2.0,,64.0,
"Інтернет магазин,Антисептики для рук",14,1.0,,378.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук ACTIVE CLEAN",4,4.0,,420.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук ANIOS",7,1.0,,641.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук APRO A-DES",1,1.0,1.0,2000.0,20.0
"Інтернет магазин,Антисептики для рук,Антисептики для рук Agrinol",1,1.0,,797.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Alma Sept",9,7.0,,170.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Ampri",3,,,342.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Aniosgel",3,,,1824.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Aqua",1,,,249.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Auchan",1,1.0,,50.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Avon",3,3.0,,69.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук BE Fort",1,,,53.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук BODE Chemie",16,9.0,,1046.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Bacillol",1,,,,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Baltiachemi",1,1.0,,397.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Bath & Body Works",18,18.0,,85.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Bel`etage",1,,,275.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Biolong",17,13.0,,189.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук BlackTouch",1,1.0,1.0,249.0,28.857142857142858
"Інтернет магазин,Антисептики для рук,Антисептики для рук Blanidas",6,,,641.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Bubble Gum",1,1.0,,69.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук CTS",4,1.0,1.0,239.5,60.0
"Інтернет магазин,Антисептики для рук,Антисептики для рук Canni Nail",8,5.0,,419.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Clean Stream",13,12.0,2.0,180.0,33.84203480589023
"Інтернет магазин,Антисептики для рук,Антисептики для рук Cocolady",1,1.0,1.0,99.0,50.0
"Інтернет магазин,Антисептики для рук,Антисептики для рук Color Way",1,1.0,,39.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук DEVISAN",3,3.0,,285.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Defens-D1",6,4.0,1.0,289.0,14.84375
"Інтернет магазин,Антисептики для рук,Антисептики для рук Dettol",1,,,61.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Dezi",1,,,172.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук EcoMax",3,1.0,1.0,169.5,14.84375
"Інтернет магазин,Антисептики для рук,Антисептики для рук FOX",5,4.0,1.0,27.0,60.115606936416185
"Інтернет магазин,Антисептики для рук,Антисептики для рук Fa",1,1.0,,104.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Flory Spray",1,1.0,,32.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Friendly Organic",4,4.0,,230.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Furman",1,1.0,,55.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук GGA",1,1.0,,95.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук GYM",3,,,,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Gloss",10,10.0,,50.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук HEALER",1,,,485.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук HMD",1,1.0,,55.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Helper",2,,,,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Hillary",1,1.0,1.0,210.0,40.0
"Інтернет магазин,Антисептики для рук,Антисептики для рук IQ-COSMETIC",6,,,179.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Jerden Proff",1,1.0,,105.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Joko Blend",1,1.0,1.0,82.0,17.171717171717173
"Інтернет магазин,Антисептики для рук,Антисептики для рук Kodi",1,1.0,,336.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук LAPUSH",3,3.0,,45.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук LUXLISS",1,1.0,,49.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Leco",1,,,202.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Lindo",1,1.0,,65.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Lonstin",1,1.0,,29.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Lysoform",7,7.0,,312.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук MDM",7,7.0,,250.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук MDM Маносепт",1,1.0,,485.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Mermade",21,21.0,,59.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Missha",1,1.0,,175.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Mr.Scrubber",3,3.0,,65.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Multichem",51,51.0,20.0,76.0,10.124528478714183
"Інтернет магазин,Антисептики для рук,Антисептики для рук NN",70,66.0,13.0,139.0,43.47826086956522
"Інтернет магазин,Антисептики для рук,Антисептики для рук NOUS",2,,,374.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук NatureLoveMere",3,3.0,,275.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук O'key",3,,,55.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук PNB",1,1.0,,109.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Piel Cosmetics",5,5.0,,152.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Pigeon",3,3.0,,95.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Primaterra",4,4.0,,116.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук ProComfort",1,,,,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Protex",4,3.0,1.0,161.5,58.095238095238095
"Інтернет магазин,Антисептики для рук,Антисептики для рук Purity Project",1,,,220.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук SNP",1,1.0,,79.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Safety 1st",1,1.0,1.0,812.0,15.680166147455868
"Інтернет магазин,Антисептики для рук,Антисептики для рук Shelly",1,1.0,,128.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Shine",1,1.0,,139.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Staleks PRO",1,1.0,,395.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Sterility",8,8.0,,76.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Sterillium",3,,,485.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Tanoya",2,1.0,,273.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Tork",1,,,,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Touch Protect",11,2.0,1.0,38.0,25.792988313856426
"Інтернет магазин,Антисептики для рук,Антисептики для рук Ultra Compact",1,1.0,1.0,15.0,59.45945945945946
"Інтернет магазин,Антисептики для рук,Антисептики для рук Victoria's Secret",4,4.0,,595.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Vilan",6,6.0,,332.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Virustop",5,,,329.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Vital Charm",5,,,25.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Waider",2,,,321.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук WashYourBody",7,7.0,,89.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук YRE",1,1.0,,90.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук АТЛАНТІС ХІМ",4,4.0,,102.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук АХД",11,,,406.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук АХД 2000",2,,,428.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Аеродезин",1,,,253.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Аромат",3,3.0,,38.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Бациллол",1,,,3867.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Биолонг",11,8.0,,88.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Биомой",1,,,915.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Биоцид Плюс",12,12.0,,99.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Бланидас",19,12.0,,287.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Бодедекс",2,,,2450.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Біодез",5,5.0,,77.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Вернедор-Плюс",1,,,762.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Винсент",2,,,944.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Вінсепт",2,,,1054.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Галлтерра",1,1.0,,41.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Дезактин",1,,,304.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Дезодерм",1,,,304.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Етасепт",1,,,202.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Интердез",2,2.0,,434.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Карапуз",1,,,64.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Клин Стрим",1,,,,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Кожен День",2,2.0,,20.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Кутасепт",3,,,762.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Лизодерм",4,,,754.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Лизоформ Медикал",17,17.0,,295.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Манорм",10,9.0,,48.5,
"Інтернет магазин,Антисептики для рук,Антисептики для рук ООО ""ТМА ""ТРИСТАН""",7,7.0,7.0,980.0,10.256410256410257
"Інтернет магазин,Антисептики для рук,Антисептики для рук Полидез",1,1.0,,198.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук СВОД",3,2.0,,288.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Сан Клин",2,1.0,1.0,54.5,13.157894736842104
"Інтернет магазин,Антисептики для рук,Антисептики для рук Сано Борербад",3,,,713.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Саноксил",3,,,171.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Санітарний щит України",1,1.0,,438.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Септолин",1,,,,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Септофан",1,1.0,1.0,329.0,19.951338199513383
"Інтернет магазин,Антисептики для рук,Антисептики для рук ТМ FURMAN",5,5.0,,65.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук ТОВ ""Делана""",1,,,290.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Фармакос",1,,,1781.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Фиолент",1,,,962.0,
"Інтернет магазин,Антисептики для рук,Антисептики для рук Эликсир",4,4.0,,35.0,
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу AIMED",1,1.0,,799.0,
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу Beauty Equipment",1,,,,
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу GBT Electronic Factory",4,3.0,,3235.0,
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу LiftingLab",5,5.0,,4200.0,
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу NN",5,3.0,1.0,6995.0,10.778061224489797
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу SciLogex",1,1.0,,4550.0,
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу Shenzhen",1,,,,
"Інтернет магазин,Апарати для RF-ліфтингу,Апарати для RF-ліфтингу Zemits",1,,,,
"Інтернет магазин,Апарати для вакуумного масажу,Апарати для вакуумного масажу B.S.Ukraine",2,,,,
"Інтернет магазин,Апарати для вакуумного масажу,Апарати для вакуумного масажу GBT Electronic Factory",2,2.0,,5325.0,
"Інтернет магазин,Апарати для вакуумного масажу,Апарати для вакуумного масажу Grand",1,,,286.0,
"Інтернет магазин,Апарати для вакуумного масажу,Апарати для вакуумного масажу LAFO",1,1.0,,7400.0,
"Інтернет магазин,Апарати для мікрострумової терапії,Апарати для мікрострумової терапії Neue-Li",1,,,,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії ANail",1,,,1550.0,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії Anlan",1,1.0,1.0,912.0,13.06005719733079
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії BYU",3,,,2470.0,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії Bautech",1,,,,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії CkeyiN",2,2.0,2.0,738.0,13.023088724964284
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії Kodi",1,1.0,,170.0,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії LiftingLab",2,2.0,,1500.0,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії LoveLines",4,,,,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії NN",29,14.0,,14250.0,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії Nano Steam Yonmi",1,,,1650.0,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії Xiaomi",1,,,899.0,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії YRE",2,2.0,,1142.5,
"Інтернет магазин,Апарати ультразвукової терапії,Апарати ультразвукової терапії Zemits",1,,,,
"Інтернет магазин,Вентилятори",1,,,,
"Інтернет магазин,Вентилятори,Вентилятори Ardesto",18,1.0,1.0,1399.0,26.675558519506502
"Інтернет магазин,Вентилятори,Вентилятори Aurora",4,,,1199.0,
"Інтернет магазин,Вентилятори,Вентилятори Bautech",2,2.0,2.0,362.0,12.98076923076923
"Інтернет магазин,Вентилятори,Вентилятори Binatone",2,,,,
"Інтернет магазин,Вентилятори,Вентилятори Blaupunkt",1,,,1637.0,
"Інтернет магазин,Вентилятори,Вентилятори Bork",1,,,,
"Інтернет магазин,Вентилятори,Вентилятори Delfa",7,,,399.0,
"Інтернет магазин,Вентилятори,Вентилятори ENSA",1,,,13200.0,
"Інтернет магазин,Вентилятори,Вентилятори Element",5,1.0,1.0,560.0,28.61230329041488
"Інтернет магазин,Вентилятори,Вентилятори Ergo",12,,,739.0,
"Інтернет магазин,Вентилятори,Вентилятори Goldstar",6,,,,
"Інтернет магазин,Вентилятори,Вентилятори Gorenje",1,,,4268.0,
"Інтернет магазин,Вентилятори,Вентилятори Grunhelm",4,,,384.0,
"Інтернет магазин,Вентилятори,Вентилятори HAUSMARK",2,,,,
"Інтернет магазин,Вентилятори,Вентилятори Honda",4,1.0,1.0,639.0,54.60750853242321
"Інтернет магазин,Вентилятори,Вентилятори Hölmer",1,,,789.0,
"Інтернет магазин,Вентилятори,Вентилятори Laretti",4,,,559.0,
"Інтернет магазин,Вентилятори,Вентилятори Makita",2,,,,
"Інтернет магазин,Вентилятори,Вентилятори Master",6,,,8580.0,
"Інтернет магазин,Вентилятори,Вентилятори Monte",3,,,,
"Інтернет магазин,Вентилятори,Вентилятори Mystery",18,,,524.0,
"Інтернет магазин,Вентилятори,Вентилятори NN",4,,,,
"Інтернет магазин,Вентилятори,Вентилятори Neo Tools",3,,,2099.0,
"Інтернет магазин,Вентилятори,Вентилятори Neoclima",1,,,1399.0,
"Інтернет магазин,Вентилятори,Вентилятори OOTB",1,1.0,,110.0,
"Інтернет магазин,Вентилятори,Вентилятори Rikon",3,,,,
"Інтернет магазин,Вентилятори,Вентилятори Rotex",26,1.0,1.0,554.0,32.47631935047362
"Інтернет магазин,Вентилятори,Вентилятори Rowenta",9,,,1949.0,
"Інтернет магазин,Вентилятори,Вентилятори Saturn",29,,,399.0,
"Інтернет магазин,Вентилятори,Вентилятори Scarlett",8,,,479.0,
"Інтернет магазин,Вентилятори,Вентилятори Stadler Form",7,,,,
"Інтернет магазин,Вентилятори,Вентилятори Supra",17,,,459.0,
"Інтернет магазин,Вентилятори,Вентилятори UFO",6,,,3349.0,
"Інтернет магазин,Вентилятори,Вентилятори UKC",5,,,,
"Інтернет магазин,Вентилятори,Вентилятори Underprice",3,,,399.0,
"Інтернет магазин,Вентилятори,Вентилятори VES electric",2,,,324.0,
"Інтернет магазин,Вентилятори,Вентилятори Vitek",1,,,,
"Інтернет магазин,Вентилятори,Вентилятори WetAir",8,,,564.0,
"Інтернет магазин,Вентилятори,Вентилятори Wild Wind",7,,,2699.0,
"Інтернет магазин,Вентилятори,Вентилятори Xiaomi",15,1.0,1.0,389.0,23.34111370456819
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Aerauliqa",9,,,1795.0,
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Blauberg",51,51.0,51.0,2733.0,10.016
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Colibri",2,2.0,,367.5,
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори DOSPEL",10,5.0,,399.0,
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Electrolux",25,,,1680.0,
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Gorenje",10,5.0,,1249.0,
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Marley",1,1.0,,5850.0,
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори Soler&Palau",135,88.0,10.0,4623.0,20.29641476959049
"Інтернет магазин,Витяжні вентилятори,Витяжні вентилятори airRoxy",31,28.0,7.0,835.0,25.77639751552795
